Player,Team,Position,Pitcher,League,Division,Yankees,Playoff Team 2011,World Series Team 2011,Salary
Luke Gregerson,San Diego Padres,Pitcher,Yes,National,National West,No,No,No,447800
Luke Hochevar,Kansas City Royals,Pitcher,Yes,American,American Central,No,No,No,1760000
Luke Scott,Baltimore Orioles,Outfielder,No,American,American East,No,No,No,6400000
Lyle Overbay,Pittsburgh Pirates,First Baseman,No,National,National Central,No,No,No,5000000
Madison Bumgarner,San Francisco Giants,Pitcher,Yes,National,National West,No,No,No,450000
Magglio Ordonez,Detroit Tigers,Outfielder,No,American,American Central,No,Yes,No,10000000
Maicer Izturis,Los Angeles Angels,Second Baseman,No,American,American West,No,No,No,3266666
Manny Parra,Milwaukee Brewers,Pitcher,Yes,National,National Central,No,Yes,No,1200000
Manny Ramirez,Tampa Bay Rays,Designated Hitter,No,American,American East,No,Yes,No,2020000
Marc Rzepczynski,Toronto Blue Jays,Pitcher,Yes,American,American East,No,No,No,429600
Marco Scutaro,Boston Red Sox,Shortstop,No,American,American East,No,No,No,5500000
Marcos Mateo,Chicago Cubs,Pitcher,Yes,National,National Central,No,No,No,417000
Marcus Thames,Los Angeles Dodgers,Outfielder,No,National,National West,No,No,No,1000000
Mariano Rivera,New York Yankees,Pitcher,Yes,American,American East,Yes,Yes,No,14911700
Mark Buehrle,Chicago White Sox,Pitcher,Yes,American,American Central,No,No,No,14000000
Mark De Rosa,San Francisco Giants,Third Baseman,No,National,National West,No,No,No,6000000
Mark Ellis,Oakland Athletics,Second Baseman,No,American,American West,No,No,No,6000000
Mark Kotsay,Milwaukee Brewers,Outfielder,No,National,National Central,No,Yes,No,800000
Mark Lowe,Texas Rangers,Pitcher,Yes,American,American West,No,Yes,Yes,1200000
Mark Melancon,Houston Astros,Pitcher,Yes,National,National Central,No,No,No,421000
Mark Reynolds,Baltimore Orioles,Third Baseman,No,American,American East,No,No,No,5333333
Mark Teahen,Chicago White Sox,Third Baseman,No,American,American Central,No,No,No,4750000
Mark Teixeira,New York Yankees,First Baseman,No,American,American East,Yes,Yes,No,23125000
Mark Trumbo,Los Angeles Angels,First Baseman,No,American,American West,No,No,No,414000
Marlon Byrd,Chicago Cubs,Outfielder,No,National,National Central,No,No,No,5500000
Martin Prado,Atlanta Braves,Second Baseman,No,National,National East,No,No,No,3100000
Mason Tobin,Texas Rangers,Pitcher,Yes,American,American West,No,Yes,Yes,414000
Mat Latos,San Diego Padres,Pitcher,Yes,National,National West,No,No,No,460700
Matt Albers,Boston Red Sox,Pitcher,Yes,American,American East,No,No,No,875000
Matt Belisle,Colorado Rockies,Pitcher,Yes,National,National West,No,No,No,2350000
Matt Cain,San Francisco Giants,Pitcher,Yes,National,National West,No,No,No,7333333
Matt Capps,Minnesota Twins,Pitcher,Yes,American,American Central,No,No,No,7150000
Matt Diaz,Pittsburgh Pirates,Outfielder,No,National,National Central,No,No,No,2125000
Matt Downs,Houston Astros,Second Baseman,No,National,National Central,No,No,No,421000
Matt E. Young,Atlanta Braves,Second Baseman,No,National,National East,No,No,No,414000
Matt Garza,Chicago Cubs,Pitcher,Yes,National,National Central,No,No,No,5950000
Matt Guerrier,Los Angeles Dodgers,Pitcher,Yes,National,National West,No,No,No,2461499
Matt Harrison,Texas Rangers,Pitcher,Yes,American,American West,No,Yes,Yes,428830
Matt Holliday,St. Louis Cardinals,Outfielder,No,National,National Central,No,Yes,Yes,16317774
Matt Joyce,Tampa Bay Rays,Outfielder,No,American,American East,No,Yes,No,426500
Matt Kemp,Los Angeles Dodgers,Outfielder,No,National,National West,No,No,No,7100000
Matt LaPorta,Cleveland Indians,First Baseman,No,American,American Central,No,No,No,431400
Matt Lindstrom,Colorado Rockies,Pitcher,Yes,National,National West,No,No,No,2800000
Matt Maloney,Cincinnati Reds,Pitcher,Yes,National,National Central,No,No,No,415000
Matt Mangini,Seattle Mariners,Third Baseman,No,American,American West,No,No,No,414500
Matt Reynolds,Colorado Rockies,Pitcher,Yes,National,National West,No,No,No,415000
Matt Stairs,Washington Nationals,Outfielder,No,National,National East,No,No,No,850000
Matt Thornton,Chicago White Sox,Pitcher,Yes,American,American Central,No,No,No,3000000
Matt Tolbert,Minnesota Twins,Second Baseman,No,American,American Central,No,No,No,425000
Matt Treanor,Kansas City Royals,Catcher,No,American,American Central,No,No,No,850000
Matt Wieters,Baltimore Orioles,Catcher,No,American,American East,No,No,No,452250
Mauricio Robles,Seattle Mariners,Pitcher,Yes,American,American West,No,No,No,414000
Max Scherzer,Detroit Tigers,Pitcher,Yes,American,American Central,No,Yes,No,600000
Melky Cabrera,Kansas City Royals,Outfielder,No,American,American Central,No,No,No,1250000
Melvin Mora,Arizona Diamondbacks,Third Baseman,No,National,National West,No,Yes,No,2350000
Michael Bourn,Houston Astros,Outfielder,No,National,National Central,No,No,No,4400000
Michael Brantley,Cleveland Indians,Outfielder,No,American,American Central,No,No,No,421800
Michael Cuddyer,Minnesota Twins,Outfielder,No,American,American Central,No,No,No,10500000
Michael Dunn,Miami Marlins,Pitcher,Yes,National,National East,No,No,No,414000
Michael Kohn,Los Angeles Angels,Pitcher,Yes,American,American West,No,No,No,414000
Michael Martinez,Philadelphia Phillies,Second Baseman,No,National,National East,No,Yes,No,414000
Michael Pineda,Seattle Mariners,Pitcher,Yes,American,American West,No,No,No,414000
Michael Saunders,Seattle Mariners,Outfielder,No,American,American West,No,No,No,420000
Michael Wuertz,Oakland Athletics,Pitcher,Yes,American,American West,No,No,No,2800000
Michael Young,Texas Rangers,Infielder,No,American,American West,No,Yes,Yes,16174974
Miguel Batista,St. Louis Cardinals,Pitcher,Yes,National,National Central,No,Yes,Yes,750000
Miguel Cabrera,Detroit Tigers,First Baseman,No,American,American Central,No,Yes,No,20000000
Miguel Cairo,Cincinnati Reds,Second Baseman,No,National,National Central,No,No,No,1000000
Miguel Montero,Arizona Diamondbacks,Catcher,No,National,National West,No,Yes,No,3200000
Miguel Olivo,Seattle Mariners,Catcher,No,American,American West,No,No,No,2500000
Miguel Tejada,San Francisco Giants,Third Baseman,No,National,National West,No,No,No,6500000
Mike Adams,San Diego Padres,Pitcher,Yes,National,National West,No,No,No,2535000
Mike Aviles,Kansas City Royals,Third Baseman,No,American,American Central,No,No,No,640000
Mike Baxter,San Diego Padres,Outfielder,No,National,National West,No,No,No,414000
Mike Cameron,Boston Red Sox,Outfielder,No,American,American East,No,No,No,7750000
Mike Crotta,Pittsburgh Pirates,Pitcher,Yes,National,National Central,No,No,No,414000
Mike Fontenot,San Francisco Giants,Second Baseman,No,National,National West,No,No,No,1050000
Mike Gonzalez,Baltimore Orioles,Pitcher,Yes,American,American East,No,No,No,6000000
Mike Leake,Cincinnati Reds,Pitcher,Yes,National,National Central,No,No,No,425000
Mike MacDougal,Los Angeles Dodgers,Pitcher,Yes,National,National West,No,No,No,500000
Mike McCoy,Toronto Blue Jays,Second Baseman,No,American,American East,No,No,No,422300
Mike Morse,Washington Nationals,Outfielder,No,National,National East,No,No,No,1050000
Mike Napoli,Texas Rangers,Catcher,No,American,American West,No,Yes,Yes,5800000
Mike Nickeas,New York Mets,Catcher,No,National,National East,No,No,No,414000
Mike Pelfrey,New York Mets,Pitcher,Yes,National,National East,No,No,No,3925000
Mike Stanton,Miami Marlins,Outfielder,No,National,National East,No,No,No,416000
Milton Bradley,Seattle Mariners,Outfielder,No,American,American West,No,No,No,13000000
Mitch Maier,Kansas City Royals,Outfielder,No,American,American Central,No,No,No,459000
Mitch Moreland,Texas Rangers,First Baseman,No,American,American West,No,Yes,Yes,426000
Mitch Stetter,Milwaukee Brewers,Pitcher,Yes,National,National Central,No,Yes,No,427000
Mitch Talbot,Cleveland Indians,Pitcher,Yes,American,American Central,No,No,No,431700
Mitchell Boggs,St. Louis Cardinals,Pitcher,Yes,National,National Central,No,Yes,Yes,431000
Nate Adcock,Kansas City Royals,Pitcher,Yes,American,American Central,No,No,No,414000
Nate McLouth,Atlanta Braves,Outfielder,No,National,National East,No,No,No,7000000
Nate Schierholtz,San Francisco Giants,Outfielder,No,National,National West,No,No,No,432500
Neftali Feliz,Texas Rangers,Pitcher,Yes,American,American West,No,Yes,Yes,457160
Neil Walker,Pittsburgh Pirates,Second Baseman,No,National,National Central,No,No,No,437000
Nelson Cruz,Texas Rangers,Outfielder,No,American,American West,No,Yes,Yes,3650000
Nelson Figueroa,Houston Astros,Pitcher,Yes,National,National Central,No,No,No,900000
Nick Blackburn,Minnesota Twins,Pitcher,Yes,American,American Central,No,No,No,3000000
Nick Hundley,San Diego Padres,Catcher,No,National,National West,No,No,No,439900
Nick Markakis,Baltimore Orioles,Outfielder,No,American,American East,No,No,No,10600000
Nick Masset,Cincinnati Reds,Pitcher,Yes,National,National Central,No,No,No,1725000
Nick Punto,St. Louis Cardinals,Third Baseman,No,National,National Central,No,Yes,Yes,750000
Nick Swisher,New York Yankees,Outfielder,No,American,American East,Yes,Yes,No,9100000
Nyjer Morgan,Milwaukee Brewers,Outfielder,No,National,National Central,No,Yes,No,471500
Octavio Dotel,Toronto Blue Jays,Pitcher,Yes,American,American East,No,No,No,3000000
Omar Beltre,Texas Rangers,Pitcher,Yes,American,American West,No,Yes,Yes,415000
Omar Infante,Miami Marlins,Second Baseman,No,National,National East,No,No,No,2500000
Omar Vizquel,Chicago White Sox,Third Baseman,No,American,American Central,No,No,No,1750000
Orlando Cabrera,Cleveland Indians,Second Baseman,No,American,American Central,No,No,No,1000000
Orlando Hudson,San Diego Padres,Second Baseman,No,National,National West,No,No,No,4000000
Pablo Sandoval,San Francisco Giants,Third Baseman,No,National,National West,No,No,No,500000
Pat Burrell,San Francisco Giants,Outfielder,No,National,National West,No,No,No,1000000
Pat Neshek,San Diego Padres,Pitcher,Yes,National,National West,No,No,No,625000
Paul Janish,Cincinnati Reds,Shortstop,No,National,National Central,No,No,No,437500
Paul Konerko,Chicago White Sox,First Baseman,No,American,American Central,No,No,No,12000000
Paul Maholm,Pittsburgh Pirates,Pitcher,Yes,National,National Central,No,No,No,6250000
Pedro Alvarez,Pittsburgh Pirates,Third Baseman,No,National,National Central,No,No,No,2050000
Pedro Beato,New York Mets,Pitcher,Yes,National,National East,No,No,No,414000
Pedro Feliciano,New York Yankees,Pitcher,Yes,American,American East,Yes,Yes,No,3750000
Pedro Strop,Texas Rangers,Outfielder,No,American,American West,No,Yes,Yes,416000
Pete Orr,Philadelphia Phillies,Second Baseman,No,National,National East,No,Yes,No,600000
Peter Bourjos,Los Angeles Angels,Outfielder,No,American,American West,No,No,No,414000
Peter Moylan,Atlanta Braves,Pitcher,Yes,National,National East,No,No,No,2000000
Phil Coke,Detroit Tigers,Pitcher,Yes,American,American Central,No,Yes,No,440000
Phil Hughes,New York Yankees,Pitcher,Yes,American,American East,Yes,Yes,No,2700000
Philip Humber,Chicago White Sox,Pitcher,Yes,American,American Central,No,No,No,500000
Placido Polanco,Philadelphia Phillies,Third Baseman,No,National,National East,No,Yes,No,5416666
Prince Fielder,Milwaukee Brewers,First Baseman,No,National,National Central,No,Yes,No,15500000
R.A. Dickey,New York Mets,Pitcher,Yes,National,National East,No,No,No,2750000
Rafael Betancourt,Colorado Rockies,Pitcher,Yes,National,National West,No,No,No,3775000
Rafael Furcal,Los Angeles Dodgers,Shortstop,No,National,National West,No,No,No,13000000
Rafael Perez,Cleveland Indians,Pitcher,Yes,American,American Central,No,No,No,1330000
Rafael Soriano,New York Yankees,Pitcher,Yes,American,American East,Yes,Yes,No,10000000
Rajai Davis,Toronto Blue Jays,Outfielder,No,American,American East,No,No,No,2500000
Ramon Castro,Chicago White Sox,Catcher,No,American,American Central,No,No,No,1200000
Ramon Hernandez,Cincinnati Reds,Catcher,No,National,National Central,No,No,No,2947318
Ramon Pena,Chicago White Sox,Pitcher,Yes,American,American Central,No,No,No,1600000
Ramon S. Ramirez,San Francisco Giants,Pitcher,Yes,National,National West,No,No,No,1650000
Ramon Santiago,Detroit Tigers,Shortstop,No,American,American Central,No,Yes,No,1350000
Randy Choate,Miami Marlins,Pitcher,Yes,National,National East,No,No,No,1000000
Randy Wells,Chicago Cubs,Pitcher,Yes,National,National Central,No,No,No,475000
Randy Wolf,Milwaukee Brewers,Pitcher,Yes,National,National Central,No,Yes,No,9500000
Raul Ibanez,Philadelphia Phillies,Outfielder,No,National,National East,No,Yes,No,12166666
Reed Johnson,Chicago Cubs,Outfielder,No,National,National Central,No,No,No,900000
Reegie Corona,New York Yankees,Second Baseman,No,American,American East,Yes,Yes,No,414000
Reggie Willits,Los Angeles Angels,Outfielder,No,American,American West,No,No,No,775000
Reid Brignac,Tampa Bay Rays,Shortstop,No,American,American East,No,Yes,No,425400
Rich Harden,Oakland Athletics,Pitcher,Yes,American,American West,No,No,No,1500000
Rich Thompson,Los Angeles Angels,Pitcher,Yes,American,American West,No,No,No,418000
Rick Ankiel,Washington Nationals,Outfielder,No,National,National East,No,No,No,1500000
Rick Porcello,Detroit Tigers,Pitcher,Yes,American,American Central,No,Yes,No,1536000
Rickie Weeks,Milwaukee Brewers,Second Baseman,No,National,National Central,No,Yes,No,4500000
Ricky Nolasco,Miami Marlins,Pitcher,Yes,National,National East,No,No,No,6000000
Ricky Romero,Toronto Blue Jays,Pitcher,Yes,American,American East,No,No,No,1000000
Rob J. Johnson,San Diego Padres,Catcher,No,National,National West,No,No,No,421700
Robert Andino,Baltimore Orioles,Infielder,No,American,American East,No,No,No,421500
Robert Parnell,New York Mets,Pitcher,Yes,National,National East,No,No,No,433500
Robinson Cano,New York Yankees,Second Baseman,No,American,American East,Yes,Yes,No,10000000
Robinson Tejeda,Kansas City Royals,Pitcher,Yes,American,American Central,No,No,No,1550000
Rod Barajas,Los Angeles Dodgers,Catcher,No,National,National West,No,No,No,3250000
Ronny Cedeno,Pittsburgh Pirates,Shortstop,No,National,National Central,No,No,No,1850000
Ross Gload,Philadelphia Phillies,First Baseman,No,National,National East,No,Yes,No,1600000
Ross Ohlendorf,Pittsburgh Pirates,Pitcher,Yes,National,National Central,No,No,No,2025000
Roy Halladay,Philadelphia Phillies,Pitcher,Yes,National,National East,No,Yes,No,20000000
Roy Oswalt,Philadelphia Phillies,Pitcher,Yes,National,National East,No,Yes,No,16000000
Russell Branyan,Arizona Diamondbacks,First Baseman,No,National,National West,No,Yes,No,1000000
Russell Martin,New York Yankees,Catcher,No,American,American East,Yes,Yes,No,4000000
Ryan Braun,Milwaukee Brewers,Outfielder,No,National,National Central,No,Yes,No,4287500
Ryan Dempster,Chicago Cubs,Pitcher,Yes,National,National Central,No,No,No,13500000
Ryan Doumit,Pittsburgh Pirates,Catcher,No,National,National Central,No,No,No,5200000
Ryan Franklin,St. Louis Cardinals,Pitcher,Yes,National,National Central,No,Yes,Yes,3250000
Ryan Hanigan,Cincinnati Reds,Catcher,No,National,National Central,No,No,No,550000
Ryan Howard,Philadelphia Phillies,First Baseman,No,National,National East,No,Yes,No,20000000
Ryan Langerhans,Seattle Mariners,Outfielder,No,American,American West,No,No,No,525000
Ryan Ludwick,San Diego Padres,Outfielder,No,National,National West,No,No,No,6775000
Ryan Madson,Philadelphia Phillies,Pitcher,Yes,National,National East,No,Yes,No,4833333
Ryan Perry,Detroit Tigers,Pitcher,Yes,American,American Central,No,Yes,No,430000
Ryan Raburn,Detroit Tigers,Outfielder,No,American,American Central,No,Yes,No,1300000
Ryan Roberts,Arizona Diamondbacks,Second Baseman,No,National,National West,No,Yes,No,423500
Ryan Rowland-Smith,Houston Astros,Pitcher,Yes,National,National Central,No,No,No,725000
Ryan Spilborghs,Colorado Rockies,Outfielder,No,National,National West,No,No,No,1950000
Ryan Sweeney,Oakland Athletics,Outfielder,No,American,American West,No,No,No,1400000
Ryan Theriot,St. Louis Cardinals,Shortstop,No,National,National Central,No,Yes,Yes,3300000
Ryan Webb,Miami Marlins,Pitcher,Yes,National,National East,No,No,No,414000
Ryan Zimmerman,Washington Nationals,Third Baseman,No,National,National East,No,No,No,9025000
Sam Fuld,Tampa Bay Rays,Outfielder,No,American,American East,No,Yes,No,418300
Sam Lecure,Cincinnati Reds,Pitcher,Yes,National,National Central,No,No,No,414000
Samuel Deduno,San Diego Padres,Pitcher,Yes,National,National West,No,No,No,414240
Samuel Demel,Arizona Diamondbacks,Pitcher,Yes,National,National West,No,Yes,No,417000
Santiago Casilla,San Francisco Giants,Pitcher,Yes,National,National West,No,No,No,1300000
Scott Baker,Minnesota Twins,Pitcher,Yes,American,American Central,No,No,No,5000000
Scott Cousins,Miami Marlins,Outfielder,No,National,National East,No,No,No,414000
Scott Downs,Los Angeles Angels,Pitcher,Yes,American,American West,No,No,No,5000000
Scott Feldman,Texas Rangers,Pitcher,Yes,American,American West,No,Yes,Yes,4400000
Scott Hairston,New York Mets,Outfielder,No,National,National East,No,No,No,1100000
Scott Kazmir,Los Angeles Angels,Pitcher,Yes,American,American West,No,No,No,12000000
Scott Linebrink,Atlanta Braves,Pitcher,Yes,National,National East,No,No,No,5500000
Scott Olsen,Pittsburgh Pirates,Pitcher,Yes,National,National Central,No,No,No,450000
Scott Rolen,Cincinnati Reds,Third Baseman,No,National,National Central,No,No,No,8166666
Sean Burnett,Washington Nationals,Pitcher,Yes,National,National East,No,No,No,1350000
Sean Green,Milwaukee Brewers,Pitcher,Yes,National,National Central,No,Yes,No,875000
Sean J. Rodriguez,Tampa Bay Rays,Infielder,No,American,American East,No,Yes,No,428600
Sean Marshall,Chicago Cubs,Pitcher,Yes,National,National Central,No,No,No,1600000
Sean O`Sullivan,Kansas City Royals,Pitcher,Yes,American,American Central,No,No,No,420500
Sergio Mitre,Milwaukee Brewers,Pitcher,Yes,National,National Central,No,Yes,No,900000
Sergio Romo,San Francisco Giants,Pitcher,Yes,National,National West,No,No,No,450000
Sergio Santos,Chicago White Sox,Pitcher,Yes,American,American Central,No,No,No,435000
Seth Smith,Colorado Rockies,Outfielder,No,National,National West,No,No,No,429000
Shane Victorino,Philadelphia Phillies,Outfielder,No,National,National East,No,Yes,No,7500000
Shaun Marcum,Milwaukee Brewers,Pitcher,Yes,National,National Central,No,Yes,No,3950000
Shawn Camp,Toronto Blue Jays,Pitcher,Yes,American,American East,No,No,No,2250000
Shawn Kelley,Seattle Mariners,Pitcher,Yes,American,American West,No,No,No,420000
Shelley Duncan,Cleveland Indians,Outfielder,No,American,American Central,No,No,No,500000
Shin-Soo Choo,Cleveland Indians,Outfielder,No,American,American Central,No,No,No,3975000
Skip Schumaker,St. Louis Cardinals,Second Baseman,No,National,National Central,No,Yes,Yes,2750000
Starlin Castro,Chicago Cubs,Shortstop,No,National,National Central,No,No,No,440000
Stephen Drew,Arizona Diamondbacks,Shortstop,No,National,National West,No,Yes,No,4650000
Stephen Strasburg,Washington Nationals,Pitcher,Yes,National,National East,No,No,No,4375000
Steve Pearce,Pittsburgh Pirates,First Baseman,No,National,National Central,No,No,No,427500
Takashi Saito,Milwaukee Brewers,Pitcher,Yes,National,National Central,No,Yes,No,1750000
Taylor Buchholz,New York Mets,Pitcher,Yes,National,National East,No,No,No,600000
Ted Lilly,Los Angeles Dodgers,Pitcher,Yes,National,National West,No,No,No,8166666
Tim Byrdak,New York Mets,Pitcher,Yes,National,National East,No,No,No,900000
Tim Collins,Kansas City Royals,Pitcher,Yes,American,American Central,No,No,No,414000
Tim Hudson,Atlanta Braves,Pitcher,Yes,National,National East,No,No,No,9000000
Tim Lincecum,San Francisco Giants,Pitcher,Yes,National,National West,No,No,No,14000000
Tim Stauffer,San Diego Padres,Pitcher,Yes,National,National West,No,No,No,1075000
Tim Wakefield,Boston Red Sox,Pitcher,Yes,American,American East,No,No,No,2000000
Todd Coffey,Washington Nationals,Pitcher,Yes,National,National East,No,No,No,1350000
Todd Helton,Colorado Rockies,First Baseman,No,National,National West,No,No,No,20275000
Tom Gorzelanny,Washington Nationals,Pitcher,Yes,National,National East,No,No,No,2100000
Tom Wilhelmsen,Seattle Mariners,Pitcher,Yes,American,American West,No,No,No,414000
Tommy Hanson,Atlanta Braves,Pitcher,Yes,National,National East,No,No,No,456500
Tommy Hunter,Texas Rangers,Pitcher,Yes,American,American West,No,Yes,Yes,442160
Tony Gwynn Jr.,Los Angeles Dodgers,Outfielder,No,National,National West,No,No,No,675000
Tony Sipp,Cleveland Indians,Pitcher,Yes,American,American Central,No,No,No,436800
Torii Hunter,Los Angeles Angels,Outfielder,No,American,American West,No,No,No,18500000
Travis Buck,Cleveland Indians,Outfielder,No,American,American Central,No,No,No,625000
Travis Hafner,Cleveland Indians,Designated Hitter,No,American,American Central,No,No,No,13000000
Travis Snider,Toronto Blue Jays,Outfielder,No,American,American East,No,No,No,435800
Travis Wood,Cincinnati Reds,Pitcher,Yes,National,National Central,No,No,No,422500
Trever Miller,St. Louis Cardinals,Pitcher,Yes,National,National Central,No,Yes,Yes,2000000
Trevor Cahill,Oakland Athletics,Pitcher,Yes,American,American West,No,No,No,440000
Trevor Crowe,Cleveland Indians,Outfielder,No,American,American Central,No,No,No,435700
Troy Tulowitzki,Colorado Rockies,Shortstop,No,National,National West,No,No,No,5500000
Tsuyoshi Nishioka,Minnesota Twins,Second Baseman,No,American,American Central,No,No,No,3000000
Ty Wigginton,Colorado Rockies,Third Baseman,No,National,National West,No,No,No,3500000
Tyler Clippard,Washington Nationals,Pitcher,Yes,National,National East,No,No,No,443000
Tyler Colvin,Chicago Cubs,Outfielder,No,National,National Central,No,No,No,440000
Tyler Greene,St. Louis Cardinals,Shortstop,No,National,National Central,No,Yes,Yes,415500
Ubaldo Jimenez,Colorado Rockies,Pitcher,Yes,National,National West,No,No,No,2800000
Vernon Wells,Los Angeles Angels,Outfielder,No,American,American West,No,No,No,26187500
Vicente Padilla,Los Angeles Dodgers,Pitcher,Yes,National,National West,No,No,No,2000000
Victor Martinez,Detroit Tigers,Catcher,No,American,American Central,No,Yes,No,12000000
Vinnie Pestano,Cleveland Indians,Pitcher,Yes,American,American Central,No,No,No,414000
Vladimir Guerrero,Baltimore Orioles,Designated Hitter,No,American,American East,No,No,No,7611455
Wade Davis,Tampa Bay Rays,Pitcher,Yes,American,American East,No,Yes,No,434100
Wandy Rodriguez,Houston Astros,Pitcher,Yes,National,National Central,No,No,No,7500000
Wes Helms,Miami Marlins,Third Baseman,No,National,National East,No,No,No,1000000
Wil Nieves,Milwaukee Brewers,Catcher,No,National,National Central,No,Yes,No,775000
Will Ohman,Chicago White Sox,Pitcher,Yes,American,American Central,No,No,No,1500000
Will Rhymes,Detroit Tigers,Second Baseman,No,American,American Central,No,Yes,No,419000
Will Venable,San Diego Padres,Outfielder,No,National,National West,No,No,No,444400
Willie Bloomquist,Arizona Diamondbacks,Outfielder,No,National,National West,No,Yes,No,900000
Willie Harris,New York Mets,Outfielder,No,National,National East,No,No,No,800000
Wilson Betemit,Kansas City Royals,Third Baseman,No,American,American Central,No,No,No,1000000
Wilson Ramos,Washington Nationals,Catcher,No,National,National East,No,No,No,415000
Wilson Valdez,Philadelphia Phillies,Shortstop,No,National,National East,No,Yes,No,560000
Wilton Lopez,Houston Astros,Pitcher,Yes,National,National Central,No,No,No,442000
Xavier Nady,Arizona Diamondbacks,Outfielder,No,National,National West,No,Yes,No,1750000
Xavier Paul,Los Angeles Dodgers,Outfielder,No,National,National West,No,No,No,419500
Yadier Molina,St. Louis Cardinals,Catcher,No,National,National Central,No,Yes,Yes,5312500
Yorvit Torrealba,Texas Rangers,Catcher,No,American,American West,No,Yes,Yes,3000000
Yovani Gallardo,Milwaukee Brewers,Pitcher,Yes,National,National Central,No,Yes,No,3500000
Yunel Escobar,Toronto Blue Jays,Shortstop,No,American,American East,No,No,No,2900000
Yuniesky Betancourt-Perez,Milwaukee Brewers,Shortstop,No,National,National Central,No,Yes,No,4300000
Zach Braddock,Milwaukee Brewers,Pitcher,Yes,National,National Central,No,Yes,No,424000
Zach Duke,Arizona Diamondbacks,Pitcher,Yes,National,National West,No,Yes,No,3500000
Zack Greinke,Milwaukee Brewers,Pitcher,Yes,National,National Central,No,Yes,No,13500000
